date,app_installed,contact_tracing_enabled
2021-02-12,12986787.142857144,10284255.857142856
2021-02-13,12978552.285714285,10280654.285714285
2021-02-14,12974584.142857144,10280437
2021-02-15,12956044.714285715,10271370.857142856
2021-02-16,12932112.42857143,10261290
2021-02-17,12909913.57142857,10244226.57142857
2021-02-18,12890807.285714285,10228851
2021-02-19,12867735.142857144,10211184.857142856
2021-02-20,12833130,10185153.714285715
2021-02-21,12776062.285714285,10141413.57142857
2021-02-22,12714425,10095553.142857144
2021-02-23,12648955.57142857,10048549.57142857
2021-02-24,12583524.57142857,10002557
2021-02-25,12519299.142857144,9957584
2021-02-26,12465154.142857144,9918881.142857144
2021-02-27,12427181.142857144,9892246.285714285
2021-02-28,12408940.142857144,9880140.42857143
2021-03-01,12393775.42857143,9868234.285714285
2021-03-02,12379071.142857144,9855356.57142857
2021-03-03,12364635.714285715,9842220.857142856
2021-03-04,12350698.142857144,9829240.285714285
2021-03-05,12335872.857142856,9815648
2021-03-06,12329754.857142856,9806965.142857144
2021-03-07,12363833.714285715,9821613.857142856
2021-03-08,12428239.857142856,9853607.42857143
2021-03-09,12505659.714285715,9892261.857142856
2021-03-10,12595772.42857143,9935803.285714285
2021-03-11,12688669.285714285,9977637.714285715
2021-03-12,12766311,10006560.285714285
2021-03-13,12849135.142857144,10038353.142857144
2021-03-14,12921586.142857144,10064529.714285715
2021-03-15,12973314.714285715,10076622.285714285
2021-03-16,13019240,10081952.285714285
2021-03-17,13063107.285714285,10082915.142857144
2021-03-18,13114847.857142856,10086354.714285715
2021-03-19,13187269.857142856,10100595.42857143
2021-03-20,13219472.42857143,10082800.42857143
2021-03-21,13207708.285714285,10033922
2021-03-22,13185639.285714285,9984350.57142857
2021-03-23,13158813.57142857,9934277.57142857
2021-03-24,13127596,9884858.714285715
2021-03-25,13087639.57142857,9835657.57142857
2021-03-26,13045548.142857144,9803490
2021-03-27,13039466.285714285,9805139.57142857
2021-03-28,13054479.42857143,9819765.142857144
2021-03-29,13078349.42857143,9833745.142857144
2021-03-30,13102728.42857143,9836314.714285715
2021-03-31,13130741.42857143,9839688.57142857
2021-04-01,13162267.42857143,9841700.42857143
2021-04-02,13192902.57142857,9826444.42857143
2021-04-03,13218421.285714285,9812645.857142856
2021-04-04,13240321.285714285,9801325.857142856
2021-04-05,13261685.857142856,9793297.142857144
2021-04-06,13285008.142857144,9798548.142857144
2021-04-07,13308806.285714285,9805300.857142856
2021-04-08,13333947.714285715,9817800.285714285
2021-04-09,13407747.42857143,9878280.714285715
2021-04-10,13493089.57142857,9949928.142857144
2021-04-11,13594150.57142857,10033541
2021-04-12,13702082.857142856,10124704.142857144
2021-04-13,13830109.42857143,10230764.714285715
2021-04-14,13976934.714285715,10351476.57142857
2021-04-15,14124893.285714285,10476564.57142857
2021-04-16,14220409.42857143,10560768.142857144
2021-04-17,14307599.142857144,10630599.714285715
2021-04-18,14382146.57142857,10689846.57142857
2021-04-19,14451981.857142856,10743745.857142856
2021-04-20,14514034.57142857,10793931
2021-04-21,14568793.42857143,10839729.57142857
2021-04-22,14619335.42857143,10880272
2021-04-23,14664188.285714285,10917491.714285715
2021-04-24,14706465,10947192.857142856
2021-04-25,14734237,10956665
2021-04-26,14684133.285714285,10903208.714285715
2021-04-27,14731951.714285715,10916915.57142857
2021-04-28,14800515.142857144,10941616.57142857
2021-04-29,14883537.714285715,10971725.857142856
2021-04-30,14972945.142857144,10994191
2021-05-01,15060966,11028177.42857143
2021-05-02,15162797.42857143,11081419.714285715
2021-05-03,15339411,11192679.142857144
2021-05-04,15417974.857142856,11235115
2021-05-05,15465430.57142857,11253025.42857143
2021-05-06,15503219,11269263.714285715
2021-05-07,15538767.142857144,11293572.857142856
2021-05-08,15577205.57142857,11314549.57142857
2021-05-09,15608049.42857143,11347654.57142857
2021-05-10,15629602.285714285,11385369.857142856
2021-05-11,15639746.142857144,11422332.42857143
2021-05-12,15651265,11469068.142857144
2021-05-13,15657979.142857144,11511989.142857144
2021-05-14,15687085.57142857,11589176
2021-05-15,15721106,11674531.142857144
2021-05-16,15775634,11759766.714285715
2021-05-17,15844979.142857144,11853555.857142856
2021-05-18,15933046.714285715,11955987.42857143
2021-05-19,16041074.57142857,12074337.714285715
2021-05-20,16150655.42857143,12195213.42857143
2021-05-21,16235938.142857144,12282017.714285715
2021-05-22,16318560.714285715,12361517.285714285
2021-05-23,16393789,12431410.42857143
2021-05-24,16472587.714285715,12494508.285714285
2021-05-25,16548981,12556254.285714285
2021-05-26,16615462.142857144,12607399.714285715
2021-05-27,16686896.57142857,12656766.57142857
2021-05-28,16766330.42857143,12704786
2021-05-29,16840875.285714287,12763455.285714285
2021-05-30,16869871.14285714,12835193
2021-05-31,16936145.57142857,12941142.42857143
2021-06-01,17001534.57142857,13044232.42857143
2021-06-02,17063266,13146966.42857143
2021-06-03,17121922.42857143,13248880.57142857
2021-06-04,17170036,13350545.285714285
2021-06-05,17223559.42857143,13441082
2021-06-06,17314750.285714287,13518102
2021-06-07,17350927.42857143,13554361.57142857
2021-06-08,17373127.42857143,13587268.142857144
2021-06-09,17392353.85714286,13616021.285714285
2021-06-10,17406234,13639257.42857143
2021-06-11,17427156.714285713,13665406.57142857
2021-06-12,17443815.42857143,13687817.285714285
2021-06-13,17462885.57142857,13708896.142857144
2021-06-14,17493422.42857143,13729919
2021-06-15,17529154.42857143,13748137.285714285
2021-06-16,17568353,13766844
2021-06-17,17611615.285714287,13789837.714285715
2021-06-18,17650819.14285714,13810057
2021-06-19,17691024.85714286,13829944.714285715
2021-06-20,17727036.714285713,13848414.57142857
2021-06-21,17757694.285714287,13866971.857142856
2021-06-22,17786454,13885265
2021-06-23,17809764.85714286,13898807.714285715
2021-06-24,17831389.42857143,13907475.42857143
2021-06-25,17853011.285714287,13915655
2021-06-26,17871565.285714287,13919089.714285715
2021-06-27,17891066.85714286,13923603.857142856
2021-06-28,17908396,13927657.285714285
2021-06-29,17920621.57142857,13925352
2021-06-30,17928422.42857143,13916495.42857143
2021-07-01,17933911,13905001.285714285
2021-07-02,17938981.14285714,13893772.57142857
2021-07-03,17942802.85714286,13881347.57142857
2021-07-04,17936753.285714287,13857382.857142856
2021-07-05,17924539.714285713,13824310
2021-07-06,17904983.714285713,13785522.285714285
2021-07-07,17877541.14285714,13738043.142857144
2021-07-08,17842183.85714286,13682470.714285715
2021-07-09,17805830,13621346.285714285
2021-07-10,17763477.714285713,13559954.714285715
2021-07-11,17718913.42857143,13501718.42857143
2021-07-12,17667311.57142857,13443568.285714285
2021-07-13,17604279.57142857,13376932.285714285
2021-07-14,17529387.57142857,13299256.142857144
2021-07-15,17451020.57142857,13218262.285714285
2021-07-16,17352690,13132298
2021-07-17,17245068.714285713,13025127.857142856
2021-07-18,17136381.57142857,12905810.714285715
2021-07-19,17035474,12781433.57142857
2021-07-20,16931038.285714287,12647855.142857144
2021-07-21,16830708.714285713,12515959
2021-07-22,16738040,12389271.285714285
2021-07-23,16657989.142857144,12268036.142857144
2021-07-24,16584956,12161875.42857143
2021-07-25,16515372.142857144,12066396.857142856
2021-07-26,16440840.285714285,11976004.285714285
2021-07-27,16374501,11896711.285714285
2021-07-28,16310041.57142857,11825070.142857144
2021-07-29,16247043,11756930.714285715
2021-07-30,16185849.142857144,11691275.285714285
2021-07-31,16046716.285714285,11568420.285714285
2021-08-01,15989184.285714285,11509844.42857143
2021-08-02,15932634.285714285,11451492.57142857
2021-08-03,15878960.285714285,11398093.714285715
2021-08-04,15828935,11348960.714285715
2021-08-05,15779329.714285715,11302661.857142856
2021-08-06,15731768.714285715,11257703.142857144
2021-08-07,15764846.857142856,11275344.42857143
2021-08-08,15719712.285714285,11232423.285714285
2021-08-09,15676384.857142856,11192558.285714285
2021-08-10,15633683,11154581.42857143
2021-08-11,15590907.57142857,11118806.285714285
2021-08-12,15548473.42857143,11085393.142857144
2021-08-13,15503645,11071938.57142857
2021-08-14,15452415.857142856,11070624.142857144
2021-08-15,15396520.42857143,11071814
2021-08-16,15341274.857142856,11075416.714285715
2021-08-17,15287470.142857144,11080756.57142857
2021-08-18,15234870.42857143,11086747.57142857
2021-08-19,15183979.57142857,11094716.142857144
2021-08-20,15134503.42857143,11081437
2021-08-21,15094324.714285715,11058249.142857144
2021-08-22,15060362.57142857,11035123.57142857
2021-08-23,15027899.714285715,11010923.42857143
2021-08-24,14998724.857142856,10987269.857142856
2021-08-25,14971830,10964469
2021-08-26,14946247.142857144,10939745.285714285
2021-08-27,14935352.714285715,10913924
2021-08-28,14930564.714285715,10896468
2021-08-29,14922551.42857143,10875095.42857143
2021-08-30,14925281.57142857,10862148.42857143
2021-08-31,14929712.714285715,10850447.285714285
2021-09-01,14934342.142857144,10839251.142857144
2021-09-02,14939545.285714285,10831304.857142856
2021-09-03,14932044.142857144,10826139.714285715
2021-09-04,14918186.714285715,10812348.285714285
2021-09-05,14908608.285714285,10802921.142857144
2021-09-06,14893677.57142857,10780092.857142856
2021-09-07,14875292.285714285,10759151.42857143
2021-09-08,14857139.285714285,10741343.285714285
2021-09-09,14838760.142857144,10720657.857142856
2021-09-10,14819805.42857143,10586775.285714285
2021-09-11,14797589.714285715,10508995.285714285
2021-09-12,14769211.57142857,10476113.857142856
2021-09-13,14738061,10462276.142857144
2021-09-14,14715312.714285715,10449868
2021-09-15,14694430.857142856,10436399.714285715
2021-09-16,14676434,10426615.285714285
2021-09-17,14661838.857142856,10532659.142857144
2021-09-18,14651035.142857144,10583351.857142856
2021-09-19,14648413.57142857,10591728.57142857
2021-09-20,14646177.142857144,10588781.714285715
2021-09-21,14633558.857142856,10579977
