week_starting,midweek_date,week_label,app_positives,app_notifications,weekly_sum_eng_wales_cases_by_specimen_date,exposure_notifications_per_index_case,percent_cases_through_app,percent_cases_over_16_through_app
2021-08-12,2021-08-15,12 August to 18 August,79777,247929,198263,3.1077754239943842,40.237966741146856,49.206122068831945
2021-08-19,2021-08-22,19 August to 25 August,75852,230431,198815,3.0379027580024256,38.152050901591934,47.3677702826754
2021-08-26,2021-08-29,26 August to 01 September,67396,207463,194942,3.0782687399845687,34.57233433534076,44.50484431624879
2021-09-02,2021-09-05,02 September to 08 September,74937,212309,209836,2.833166526548968,35.71217522255476,48.107898510996435
2021-09-09,2021-09-12,09 September to 15 September,57983,143114,167148,2.4682061983684873,34.68961638787182,51.09390641081676
2021-09-16,2021-09-19,16 September to 22 September,58417,129317,202159,2.2136877963606483,28.896561617340804,51.38433444985504
2021-09-23,2021-09-26,23 September to 29 September,64390,146642,215145,2.2774033234974373,29.928652769062726,50.481451457368685
2021-09-30,2021-10-03,30 September to 06 October,42567,125151,217770,2.9400944393544295,19.546769527483125,32.53994584702319
2021-10-07,2021-10-10,07 October to 13 October,46143,139950,263285,3.0329627462453677,17.52587500237385,28.409783560338237
2021-10-14,2021-10-17,14 October to 20 October,56306,168558,306440,2.9936063652186267,18.374233128834355,29.647532092797945
2021-10-21,2021-10-24,21 October to 27 October,75266,208669,262920,2.772420482023756,28.626958770728738,24.48939484846158
2021-10-28,2021-10-31,28 October to 03 November,78242,203845,242757,2.605314281332277,32.23058449395898,43.82558936741306
2021-11-04,2021-11-07,04 November to 10 November,65482,175912,221629,2.6864176414892644,29.54577243952732,41.19116065194281
2021-11-11,2021-11-14,11 November to 17 November,71014,184734,258247,2.6013743768834314,27.49848013723296,40.38521032565673
2021-11-18,2021-11-21,18 November to 24 November,77263,212694,271192,2.7528571243674205,28.490147201982357,43.134240200265516
2021-11-25,2021-11-28,25 November to 01 December,81397,229042,291748,2.813887489710923,27.899762808999544,41.780060424201295
2021-12-02,2021-12-05,02 December to 08 December,94169,266932,316416,2.834605868173178,29.761137237055017,42.89620075106729
2021-12-09,2021-12-12,09 December to 15 December,140880,458911,467332,3.257460249858035,30.145592426797226,38.552180628240734
2021-12-16,2021-12-19,16 December to 22 December,244070,699518,752514,2.8660548203384275,32.433948072726885,38.502080251289684
2021-12-23,2021-12-26,23 December to 29 December,341845,588329,1028725,1.721040237534555,33.229969136552526,38.309858839245294
2021-12-30,2022-01-02,30 December to 05 January,480498,604686,1275637,1.2584568510170697,37.667298769163956,43.08926860213168
2022-01-06,2022-01-09,06 January to 12 January,357957,470776,748949,1.3151747276907562,47.79457613268727,55.43862485782466
2022-01-13,2022-01-16,13 January to 19 January,193170,347693,643499,1.7999327017652844,30.018694667746182,44.4812979134755
2022-01-20,2022-01-23,20 January to 26 January,187131,346066,642436,1.8493248045486852,29.128348971726364,43.27903111734839
2022-01-27,2022-01-30,27 January to 02 February,184713,388662,548444,2.1041399360088353,33.67946408384447,45.96053494596099
2022-02-03,2022-02-06,03 February to 09 February,154145,366919,390180,2.3803496707645397,39.50612537803065,50.19606898137263
2022-02-10,2022-02-13,10 February to 16 February,113906,302928,267894,2.659456042701877,42.51905604455494,49.95570447428667
2022-02-17,2022-02-20,17 February to 23 February,92532,227499,206405,2.4585981066009595,44.830309343281414,51.44891193991511
2022-02-24,2022-02-27,24 February to 02 March,80120,233272,183723,2.911532700948577,43.60912896044589,48.772054562366385
2022-03-03,2022-03-06,03 March to 09 March,121962,336605,293459,2.759917023335137,41.56014979946091,49.170969123105216
2022-03-10,2022-03-13,10 March to 16 March,203409,526229,456074,2.58704875398827,44.59999912294935,52.10789391978506
2022-03-17,2022-03-20,17 March to 23 March,251156,600129,515702,2.389467104110593,48.70176962664485,56.219272083584414
2022-03-24,2022-03-27,24 March to 30 March,239756,537157,459001,2.2404319391381238,52.23430885771491,57.54691846663802
2022-03-31,2022-04-03,31 March to 06 April,172526,391433,279292,2.268834842284641,61.772625066238916,66.04133985914835
2022-04-07,2022-04-10,07 April to 13 April,109403,250294,193191,2.287816604663492,56.629449612041974,60.18521574762951
2022-04-14,2022-04-17,14 April to 20 April,74723,162826,130479,2.179061333190584,57.26821940695438,61.148317997767585
2022-04-21,2022-04-24,21 April to 27 April,47767,104524,85226,2.1882052462997468,56.04745030859127,58.37359983771193
2022-04-28,2022-05-01,28 April to 04 May,31165,74655,63648,2.3954756938873736,48.964617898441425,53.315062681337935
2022-05-05,2022-05-08,05 May to 11 May,27147,64368,55066,2.371090728257266,49.29902299059311,55.4122185707579
2022-05-12,2022-05-15,12 May to 18 May,21745,52589,45572,2.4184410209243503,47.715702624418505,51.22955647384219
2022-05-19,2022-05-22,19 May to 25 May,18081,45843,37558,2.535423925667828,48.141541083124764,50.658410848369385
2022-05-26,2022-05-29,26 May to 01 June,16629,45851,35787,2.7572914787419567,46.466594014586306,50.940136379509994
2022-06-02,2022-06-05,02 June to 08 June,24964,67673,54888,2.7108235859637877,45.4817082058009,47.517711596956005
2022-06-09,2022-06-12,09 June to 15 June,36042,94193,76446,2.6134232284556904,47.14700572953458,49.809837588033034
2022-06-16,2022-06-19,16 June to 22 June,48885,130829,102818,2.676260611639562,47.54517691454804,51.07712818755342
2022-06-23,2022-06-26,23 June to 29 June,63141,154243,131574,2.4428342915063115,47.988964385060875,51.787263848403676
2022-06-30,2022-07-03,30 June to 06 July,81618,191166,174037,2.342203925604646,46.89692421726414,50.73234891185706
2022-07-07,2022-07-10,07 July to 13 July,79726,160959,163237,2.0189022401725913,48.84064274643617,52.64652355708404
2022-07-14,2022-07-17,14 July to 20 July,54647,106432,112513,1.9476275001372445,48.5694986357132,52.14348690663847
2022-07-21,2022-07-24,21 July to 27 July,35951,69630,75584,1.9368028705738367,47.56429932260796,50.31898127542122
2022-07-28,2022-07-31,28 July to 03 August,24642,47627,55146,1.93275708140573,44.68501795234469,46.71132695654151
2022-08-04,2022-08-07,04 August to 10 August,19009,38190,43298,2.009048345520543,43.90272067993903,46.17959731021884
